,HomeCountry,PresentCountry,Age,Words,Filename,Date,Time,Sex,ID,duration
0,Trinidad,Trinidad,22,Plans are nice. You know what's nicer? Achievements!,2b506c83b397cbc,,,,,31.40266667
1,Tobago,Tobago,22,Where do random thoughts come from?,2b3b0c877ac7626,,,,,27.98933333
2,Trinidad,Trinidad,24,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,aa930ab8ba5b37,,,,,31.91466667
3,St. Vincent and the Grenadines,Trinidad,23,My dad is so funny that he told us jokes all night long and we never fell asleep.,84c26c24c9052c4,,,,,0
4,Jamaica,Jamaica,21,This is a Japanese doll.,c990a02bb4c358,,,,,0
5,Barbados,Trinidad,,Is it free?,1cb37557b081056,,,,,25.68533333
6,Jamaica,Jamaica,21,The memory we used to share is no longer coherent.,3.45E+14,,,,,0
7,Jamaica,Jamaica,24,How did you know that I was going to have a peanut butter sandwich for lunch?,53a46557164c06,,,,,0
8,Jamaica,Jamaica,21,She wrote him a long letter but he didn't read it.,134b8138aa93672,,,,,0
9,Tobago,Trinidad,23,The sky is clear; the stars are twinkling.,c97618a978b81b,,,,,26.45333333
10,Tobago,Trinidad,22,Hurry!,2ba55c603097acb,,,,,29.01333333
11,St. Vincent and the Grenadines,St. Vincent and the Grenadines,45,This is the last random sentence I will be writing and I am going to stop mid-sent,63a8600881997b72,,,,,0
12,Tobago,Tobago,24,Cats are good pets for they are clean and are not noisy.,4c5250c53aa5a27,,,,,27.73333333
13,Cayman Islands,St. Lucia,31,The shooter says goodbye to his love.,c40972553236796,,,,,0
14,Tobago,Tobago,58,Should we start class now  or should we wait for everyone to get here?,c001c61a9812a58,,,,,0
15,Trinidad,Trinidad,22,A glittering gem is not enough.,c9610c3892118a,,,,,0
16,Trinidad,Trinidad,,The waves were crashing on the shore; it was a lovely sight.,5bb61718758ca32,0.399756944,11:28:08,,,0
17,Jamaica,Barbados,28,They got there early and they got really good seats.,cca06267817c227,0.399756944,13:15:45,,,0
18,Jamaica,Jamaica,22,Cats are good pets  for they are clean and are not noisy.,3a6a6c6a7452a26,0.399756944,14:22:09,,,0
19,Trinidad,Trinidad,24,The church was white and brown and looked very old.,8597568b5110a9,0.399756944,18:09:17,,,0
20,Trinidad,Trinidad,42,Life is like an exam sometimes you fail other times you succeed,b755545285c3969,0.399756944,19:20:57,,,0
21,Trinidad,Trinidad,22,I am counting my calories yet I really want dessert.,722c83735b066c8,0.399756944,21:03:50,,,32.17066667
22,Tobago,Tobago,23,That boy is so mean that he doesn't care if a door slams in your face or if he cuts in line.,10ab02b6ca30837,0.399756944,21:04:26,,,0
23,Trinidad,Trinidad,23,The church was white and brown and looked very old.,069166455a880564,0.399756944,23:56:18,,,0
24,Trinidad,Trinidad,23,My dad is so funny that he told us jokes all night long and we never fell asleep.,a7c2a6543a86044,0.399756944,23:59:40,,,0
25,Trinidad,Trinidad,20,She wrote him a long letter but he didn't read it.,0630b73b35005982,0.441423611,2:54:14,,,0
26,St. Lucia,Antigua & Barbuda,32,I checked to make sure that he was still alive.,165b5142370a924,0.483090278,15:28:56,,,0
27,Trinidad,Trinidad,27,I will never be this young again. Ever. Oh damn… I just got older.,761602baca2bc37,0.483090278,15:32:09,,,0
28,St. Lucia,St. Lucia,,Should we start class now or should we wait for everyone to get here?,bac22756497579,0.483090278,15:33:40,,,29.09866667
29,Antigua & Barbuda,Antigua & Barbuda,29,Your mom is so nice she gave me a ride home today.,438bc81c228757,0.483090278,15:35:12,,,0
30,Trinidad,Trinidad,,Christmas is coming.,8a092739631716,0.483090278,15:38:11,,,0
31,Trinidad,Trinidad,25,She wrote him a long letter but he didn't read it.,4ac460a6c07885b,0.483090278,15:52:54,,,31.91466667
32,Trinidad,Trinidad,33,She borrowed the book from him many years ago and hasn't yet returned it.,3485735323c0a12,0.483090278,15:53:46,,,35.328
33,Trinidad,Trinidad,36,I fell in the mud when I was walking home from school today.,3553393c1827862,0.483090278,15:59:08,,,0
34,Trinidad,Trinidad,34,I think I will buy the red car or I will lease the blue one.,49b459400697815,0.483090278,16:18:40,,,0
35,Trinidad,Trinidad,28,I will never be this young again. Ever. Oh damn… I just got older.,054c4137a1175b4,0.483090278,17:07:03,,,0
36,Barbados,Barbados,30,I went to the dentist the other day and he let me pick a prize out of the prize box.,0ba1b424077b6b58,0.483090278,19:53:41,,,0
37,Tobago,Trinidad,19,This dinner is so delicious I can't stop eating.,7602c4b101b6996,0.483090278,22:15:38,,,28.58666667
38,Tobago,Tobago,,He turned in the research paper on Friday; otherwise he would have not passed the class.,b518616c2cba343,0.483090278,22:54:45,,,32.42666667
39,Barbados,Trinidad,23,I fell in the mud when I was walking home from school today.,61237ca3a1b8a07,0.524756944,2:37:11,,,0
40,St. Lucia,St. Lucia,36,The chocolate chip cookies smelled so good that I ate one without asking.,4c377192123582,0.524756944,4:23:22,,,29.952
41,Tobago,Tobago,46,We have never been to Asia nor have we visited Africa.,20c088bc295c34,0.524756944,17:04:41,,,0
42,Tobago,Tobago,,A glittering gem is not enough.,5061b7365a08834,0.649756944,2:49:19,,,29.52533333
43,St. Lucia,St. Lucia,18,Inside us there is something that has no name that something is what we are.,6a820431922a287,0.816423611,0:15:18,,,24.576
44,Trinidad,Trinidad,31,What was the person thinking when they discovered cow’s milk was fine for human consumption… and why did they do it in the first place!?,83555539cca847a,0.941423611,23:38:00,,,30.72
